site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
PLA2,AP,,2,,2,Early chick rearing,,AP182,,,,,21/02/2018,,,n,y,n,n,n,n,n,,,U,,,,,,,,,,BS,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1326,AP183,-54.58747004,158.894102,175.108673,3:19:13,3/01/2018,13,7,n,n,n,n,n,n,n,,,1,,,,,,,,,N,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP183,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,EGG,,,,,,,,,,BS,,,
PLA2,AP,,2,Antarctic Prion,1,Incubation,1322,AP184,-54.58738497,158.894104,171.131805,3:03:51,3/01/2018,16,8,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA2,AP,,2,Antarctic Prion,2,Early chick rearing,,AP184,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLC1,AP,,1,,1,Incubation,1385,AP185,-54.588656,158.893989,176.658997,5:01:22,3/01/2018,12,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1327,AP187,-54.58748798,158.894294,171.496552,3:20:16,3/01/2018,23,12,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP187,,,,,21/02/2018,,,n,y,y,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA1.5,AP,,2,,1,Incubation,1324,AP188,-54.58740802,158.894178,173.675293,3:15:40,3/01/2018,10,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,2,,2,Early chick rearing,,AP188,,,,,21/02/2018,,,n,y,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA1.5,AP,,2,,1,Incubation,1332,AP189,-54.58752897,158.894388,174.284546,3:29:19,3/01/2018,12,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,2,,2,Early chick rearing,,AP189,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLBC2,AP,,1,,1,Incubation,1414,AP190,-54.58790397,158.89323,187.871399,5:53:15,3/01/2018,14,9,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1353,AP191,-54.58790699,158.894723,171.174576,4:00:18,3/01/2018,10,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,,1,Incubation,1408,AP192,-54.58792401,158.893179,187.202026,5:49:09,3/01/2018,22,16,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,,1,Incubation,1388,AP193,-54.58872104,158.893983,179.766006,5:06:49,3/01/2018,17,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,,1,Incubation,1380,AP194,-54.58869497,158.894019,175.459,4:54:59,3/01/2018,13,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1348,AP195,-54.58787598,158.894623,172.367035,3:54:50,3/01/2018,12,7,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1363,AP197,-54.58794697,158.894762,169.711761,4:16:16,3/01/2018,13,7,y,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1336,AP198,-54.58763701,158.894481,172.484726,3:36:21,3/01/2018,15,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA1.5,AP,,1,,1,Incubation,1361,AP199,-54.58793096,158.89474,168.489746,4:13:45,3/01/2018,15,9,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,2,Antarctic Prion,1,Incubation,1313,AP200,-54.58732202,158.8941,170.111008,2:42:05,3/01/2018,13,12,y,n,n,n,n,n,n,,,E,,,,,,,,,N,,,,
PLA2,AP,,2,Antarctic Prion,2,Early chick rearing,,AP200,,,,,21/02/2018,,,n,y,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA2,AP,,3,Antarctic Prion,1,Incubation,1315,AP201,-54.58731296,158.8941,171.210068,2:46:10,3/01/2018,27,13,n,n,n,n,n,n,n,,,U,,,,,,,,,N,,,,
PLC1,AP,,3,,2,Incubation,1393,AP201a,-54.58824201,158.893343,183.422165,5:28:47,3/01/2018,26,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,3,Antarctic Prion,2,Early chick rearing,,AP201,,,,,21/02/2018,,,y,n,n,n,n,n,n,,,1,,,,,,,,,,BS,,,
PLA1.5,AP,,2,Antarctic Prion,1,Incubation,1328,AP202,-54.58750801,158.894194,176.898239,3:24:50,3/01/2018,15,13,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLA1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP202,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,U,,,,,,,,,,BS,,,
